team1,team2,winner,margin,venue,match_date,match_no
Pakistan,World-XI,World-XI,7 wickets,Lahore,"Sep 13, 2017",T20I # 620
Pakistan,World-XI,Pakistan,33 runs,Lahore,"Sep 15, 2017",T20I # 621
England,West Indies,West Indies,21 runs,Chester-le-Street,"Sep 16, 2017",T20I # 622
India,Australia,India,9 wickets,Ranchi,"Oct 7, 2017",T20I # 623
India,Australia,Australia,8 wickets,Guwahati,"Oct 10, 2017",T20I # 624
Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,"Oct 26, 2017",T20I # 625
South Africa,Bangladesh,South Africa,20 runs,Bloemfontein,"Oct 26, 2017",T20I # 626
Pakistan,Sri Lanka,Pakistan,2 wickets,Abu Dhabi,"Oct 27, 2017",T20I # 627
South Africa,Bangladesh,South Africa,83 runs,Potchefstroom,"Oct 29, 2017",T20I # 628
Pakistan,West Indies,Pakistan,8 wickets,Karachi,"Apr 3, 2018",T20I # 665
ICC World XI,West Indies,West Indies,72 runs,Lord's,"May 31, 2018",T20I # 666
Afghanistan,Bangladesh,Afghanistan,45 runs,Dehradun,"Jun 3, 2018",T20I # 667
Afghanistan,Bangladesh,Afghanistan,6 wickets,Dehradun,"Jun 5, 2018",T20I # 668
Afghanistan,Bangladesh,Afghanistan,1 run,Dehradun,"Jun 7, 2018",T20I # 669
Netherlands,Ireland,Netherlands,4 runs,Rotterdam,"Jun 12, 2018",T20I # 670
Scotland,Pakistan,Pakistan,48 runs,Edinburgh,"Jun 12, 2018",T20I # 671
Netherlands,Ireland,Netherlands,4 wickets,Rotterdam,"Jun 13, 2018",T20I # 672
Scotland,Pakistan,Pakistan,84 runs,Edinburgh,"Jun 13, 2018",T20I # 673
Ireland,Scotland,Ireland,46 runs,Deventer,"Jun 16, 2018",T20I # 674
Ireland,Scotland,tied,Deventer,"Jun 17, 2018",T20I # 675,
Netherlands,Scotland,Scotland,7 wickets,Amstelveen,"Jun 19, 2018",T20I # 676
Netherlands,Scotland,Scotland,115 runs,Amstelveen,"Jun 20, 2018",T20I # 677
Ireland,India,India,76 runs,Dublin (Malahide),"Jun 27, 2018",T20I # 678
Pakistan,Sri Lanka,Pakistan,36 runs,Lahore,"Oct 29, 2017",T20I # 629
India,New Zealand,India,53 runs,Delhi,"Nov 1, 2017",T20I # 630
India,New Zealand,New Zealand,40 runs,Rajkot,"Nov 4, 2017",T20I # 631
India,New Zealand,India,6 runs,Thiruvananthapuram,"Nov 7, 2017",T20I # 632
India,Sri Lanka,India,93 runs,Cuttack,"Dec 20, 2017",T20I # 633
India,Sri Lanka,India,88 runs,Indore,"Dec 22, 2017",T20I # 634
India,Sri Lanka,India,5 wickets,Mumbai,"Dec 24, 2017",T20I # 635
New Zealand,West Indies,New Zealand,47 runs,Nelson,"Dec 29, 2017",T20I # 636
England,Australia,England,28 runs,Birmingham,"Jun 27, 2018",T20I # 679
Ireland,India,India,143 runs,Dublin (Malahide),"Jun 29, 2018",T20I # 680
Zimbabwe,Pakistan,Pakistan,74 runs,Harare,"Jul 1, 2018",T20I # 681
Australia,Pakistan,Australia,9 wickets,Harare,"Jul 2, 2018",T20I # 682
Zimbabwe,Australia,Australia,100 runs,Harare,"Jul 3, 2018",T20I # 683
England,India,India,8 wickets,Manchester,"Jul 3, 2018",T20I # 684
Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,"Jul 4, 2018",T20I # 685
Australia,Pakistan,Pakistan,45 runs,Harare,"Jul 5, 2018",T20I # 686
Zimbabwe,Australia,Australia,5 wickets,Harare,"Jul 6, 2018",T20I # 687
England,India,England,5 wickets,Cardiff,"Jul 6, 2018",T20I # 688
Australia,Pakistan,Pakistan,6 wickets,Harare,"Jul 8, 2018",T20I # 689
England,India,India,7 wickets,Bristol,"Jul 8, 2018",T20I # 690
Nepal,Netherlands,no result,Lord's,"Jul 29, 2018",T20I # 691,
West Indies,Bangladesh,West Indies,7 wickets,Basseterre,"Jul 31, 2018",T20I # 692
New Zealand,Sri Lanka,New Zealand,3 runs,Mount Maunganui,"Jan 7, 2016",T20I # 474
India,Sri Lanka,no result,Guwahati,"Jan 5, 2020",T20I # 1025,
Bangladesh,West Indies,Bangladesh,12 runs,Lauderhill,"Aug 4, 2018",T20I # 693
Bangladesh,West Indies,Bangladesh,19 runs,Lauderhill,"Aug 5, 2018",T20I # 694
Sri Lanka,South Africa,Sri Lanka,3 wickets,Colombo (RPS),"Aug 14, 2018",T20I # 695
Ireland,Afghanistan,Afghanistan,16 runs,Bready,"Aug 20, 2018",T20I # 696
Ireland,Afghanistan,Afghanistan,81 runs,Bready,"Aug 22, 2018",T20I # 697
South Africa,Zimbabwe,South Africa,34 runs,East London,"Oct 9, 2018",T20I # 698
South Africa,Zimbabwe,South Africa,6 wickets,Potchefstroom,"Oct 12, 2018",T20I # 699
U.A.E.,Australia,Australia,7 wickets,Tolerance Oval,"Oct 22, 2018",T20I # 700
Australia,Pakistan,Pakistan,66 runs,Abu Dhabi,"Oct 24, 2018",T20I # 701
Australia,Pakistan,Pakistan,11 runs,Dubai (DSC),"Oct 26, 2018",T20I # 702
Sri Lanka,England,England,30 runs,Colombo (RPS),"Oct 27, 2018",T20I # 703
Australia,Pakistan,Pakistan,33 runs,Dubai (DSC),"Oct 28, 2018",T20I # 704
New Zealand,Pakistan,Pakistan,2 runs,Abu Dhabi,"Oct 31, 2018",T20I # 705
Afghanistan,Zimbabwe,Afghanistan,5 runs,Sharjah,"Jan 8, 2016",T20I # 475
New Zealand,Sri Lanka,New Zealand,9 wickets,Auckland,"Jan 10, 2016",T20I # 476
Afghanistan,Zimbabwe,Afghanistan,81 runs,Sharjah,"Jan 10, 2016",T20I # 477
New Zealand,Pakistan,Pakistan,16 runs,Auckland,"Jan 15, 2016",T20I # 478
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Khulna,"Jan 15, 2016",T20I # 479
New Zealand,Pakistan,New Zealand,10 wickets,Hamilton,"Jan 17, 2016",T20I # 480
Bangladesh,Zimbabwe,Bangladesh,42 runs,Khulna,"Jan 17, 2016",T20I # 481
Bangladesh,Zimbabwe,Zimbabwe,31 runs,Khulna,"Jan 20, 2016",T20I # 482
New Zealand,Pakistan,New Zealand,95 runs,Wellington,"Jan 22, 2016",T20I # 483
Bangladesh,Zimbabwe,Zimbabwe,18 runs,Khulna,"Jan 22, 2016",T20I # 484
Australia,India,India,37 runs,Adelaide,"Jan 26, 2016",T20I # 485
Australia,India,India,27 runs,Melbourne,"Jan 29, 2016",T20I # 486
Hong Kong,Scotland,Hong Kong,9 wickets,Mong Kok,"Jan 30, 2016",T20I # 487
Hong Kong,Scotland,Scotland,37 runs,Mong Kok,"Jan 31, 2016",T20I # 488
Australia,India,India,7 wickets,Sydney,"Jan 31, 2016",T20I # 489
U.A.E.,Netherlands,Netherlands,84 runs,ICCA Dubai,"Feb 3, 2016",T20I # 490
India,Sri Lanka,India,7 wickets,Indore,"Jan 7, 2020",T20I # 1026
India,Sri Lanka,India,78 runs,Pune,"Jan 10, 2020",T20I # 1027
West Indies,Ireland,Ireland,4 runs,St George's,"Jan 15, 2020",T20I # 1028
West Indies,Ireland,no result,Basseterre,"Jan 18, 2020",T20I # 1029,
West Indies,Ireland,West Indies,9 wickets,Basseterre,"Jan 19, 2020",T20I # 1030
New Zealand,India,India,6 wickets,Auckland,"Jan 24, 2020",T20I # 1031
Pakistan,Bangladesh,Pakistan,5 wickets,Lahore,"Jan 24, 2020",T20I # 1032
Pakistan,Bangladesh,Pakistan,9 wickets,Lahore,"Jan 25, 2020",T20I # 1033
New Zealand,India,India,7 wickets,Auckland,"Jan 26, 2020",T20I # 1034
New Zealand,India,tied,Hamilton,"Jan 29, 2020",T20I # 1035,
New Zealand,India,tied,Wellington,"Jan 31, 2020",T20I # 1036,
New Zealand,India,India,7 runs,Mount Maunganui,"Feb 2, 2020",T20I # 1037
Qatar,Uganda,Qatar,40 runs,Doha,"Feb 12, 2020",T20I # 1038
South Africa,England,South Africa,1 run,East London,"Feb 12, 2020",T20I # 1039
New Zealand,Pakistan,Pakistan,6 wickets,Dubai (DSC),"Nov 2, 2018",T20I # 706
India,West Indies,India,5 wickets,Kolkata,"Nov 4, 2018",T20I # 707
New Zealand,Pakistan,Pakistan,47 runs,Dubai (DSC),"Nov 4, 2018",T20I # 708
India,West Indies,India,71 runs,Lucknow,"Nov 6, 2018",T20I # 709
India,West Indies,India,6 wickets,Chennai,"Nov 11, 2018",T20I # 710
Australia,South Africa,South Africa,21 runs,Carrara,"Nov 17, 2018",T20I # 711
Australia,India,Australia,4 runs,Brisbane,"Nov 21, 2018",T20I # 712
Australia,India,no result,Melbourne,"Nov 23, 2018",T20I # 713,
Australia,India,India,6 wickets,Sydney,"Nov 25, 2018",T20I # 714
Bangladesh,West Indies,West Indies,8 wickets,Sylhet,"Dec 17, 2018",T20I # 715
Bangladesh,West Indies,Bangladesh,36 runs,Dhaka,"Dec 20, 2018",T20I # 716
Bangladesh,West Indies,West Indies,50 runs,Dhaka,"Dec 22, 2018",T20I # 717
U.A.E.,Scotland,U.A.E.,9 runs,ICCA Dubai,"Feb 4, 2016",T20I # 491
Netherlands,Scotland,Scotland,37 runs,ICCA Dubai,"Feb 5, 2016",T20I # 492
Ireland,P.N.G.,Ireland,5 wickets,Townsville,"Feb 6, 2016",T20I # 493
Ireland,P.N.G.,Ireland,7 runs,Townsville,"Feb 7, 2016",T20I # 494
Ireland,P.N.G.,P.N.G.,11 runs,Townsville,"Feb 9, 2016",T20I # 495
India,Sri Lanka,Sri Lanka,5 wickets,Pune,"Feb 9, 2016",T20I # 496
India,Sri Lanka,India,69 runs,Ranchi,"Feb 12, 2016",T20I # 497
U.A.E.,Ireland,Ireland,34 runs,Abu Dhabi,"Feb 14, 2016",T20I # 498
India,Sri Lanka,India,9 wickets,Visakhapatnam,"Feb 14, 2016",T20I # 499
U.A.E.,Ireland,U.A.E.,5 runs,Abu Dhabi,"Feb 16, 2016",T20I # 500
Afghanistan,U.A.E.,U.A.E.,16 runs,Fatullah,"Feb 19, 2016",T20I # 501
Hong Kong,Oman,Oman,5 runs,Fatullah,"Feb 19, 2016",T20I # 502
South Africa,England,South Africa,3 wickets,Cape Town,"Feb 19, 2016",T20I # 503
Afghanistan,Oman,Afghanistan,3 wickets,Fatullah,"Feb 20, 2016",T20I # 504
Hong Kong,U.A.E.,U.A.E.,6 wickets,Fatullah,"Feb 21, 2016",T20I # 505
Qatar,Uganda,Qatar,28 runs,Doha,"Feb 13, 2020",T20I # 1040
South Africa,England,England,2 runs,Durban,"Feb 14, 2020",T20I # 1041
Qatar,Uganda,Uganda,18 runs,Doha,"Feb 15, 2020",T20I # 1042
South Africa,England,England,5 wickets,Centurion,"Feb 16, 2020",T20I # 1043
Malaysia,Hong Kong,Malaysia,21 runs,Kuala Lumpur,"Feb 20, 2020",T20I # 1044
Malaysia,Hong Kong,Malaysia,35 runs,Kuala Lumpur,"Feb 21, 2020",T20I # 1045
South Africa,Australia,Australia,107 runs,Johannesburg,"Feb 21, 2020",T20I # 1046
Iran,U.A.E.,U.A.E.,10 wickets,Al Amerat,"Feb 23, 2020",T20I # 1047
Maldives,Qatar,Qatar,106 runs,Al Amerat,"Feb 23, 2020",T20I # 1048
Kuwait,Saudi Arabia,Kuwait,9 wickets,Al Amerat,"Feb 23, 2020",T20I # 1049
Oman,Bahrain,Oman,8 wickets,Al Amerat,"Feb 23, 2020",T20I # 1050
Malaysia,Hong Kong,Malaysia,8 runs,Kuala Lumpur,"Feb 23, 2020",T20I # 1051
South Africa,Australia,South Africa,12 runs,Port Elizabeth,"Feb 23, 2020",T20I # 1052
Iran,Saudi Arabia,Saudi Arabia,9 wickets,Al Amerat,"Feb 24, 2020",T20I # 1053
South Africa,England,South Africa,9 wickets,Johannesburg,"Feb 21, 2016",T20I # 506
Afghanistan,Hong Kong,Afghanistan,66 runs,Dhaka,"Feb 22, 2016",T20I # 507
Oman,U.A.E.,U.A.E.,71 runs,Dhaka,"Feb 22, 2016",T20I # 508
Bangladesh,India,India,45 runs,Dhaka,"Feb 24, 2016",T20I # 509
Sri Lanka,U.A.E.,Sri Lanka,14 runs,Dhaka,"Feb 25, 2016",T20I # 510
Bangladesh,U.A.E.,Bangladesh,51 runs,Dhaka,"Feb 26, 2016",T20I # 511
India,Pakistan,India,5 wickets,Dhaka,"Feb 27, 2016",T20I # 512
Bangladesh,Sri Lanka,Bangladesh,23 runs,Dhaka,"Feb 28, 2016",T20I # 513
Pakistan,U.A.E.,Pakistan,7 wickets,Dhaka,"Feb 29, 2016",T20I # 514
India,Sri Lanka,India,5 wickets,Dhaka,"Mar 1, 2016",T20I # 515
Bangladesh,Pakistan,Bangladesh,5 wickets,Dhaka,"Mar 2, 2016",T20I # 516
India,U.A.E.,India,9 wickets,Dhaka,"Mar 3, 2016",T20I # 517
Pakistan,Sri Lanka,Pakistan,6 wickets,Dhaka,"Mar 4, 2016",T20I # 518
South Africa,Australia,South Africa,3 wickets,Durban,"Mar 4, 2016",T20I # 519
Oman,Qatar,Qatar,34 runs,Al Amerat,"Feb 24, 2020",T20I # 1054
Malaysia,Hong Kong,Malaysia,13 runs,Kuala Lumpur,"Feb 24, 2020",T20I # 1055
Bahrain,Maldives,Bahrain,65 runs,Al Amerat,"Feb 24, 2020",T20I # 1056
Kuwait,U.A.E.,U.A.E.,47 runs,Al Amerat,"Feb 24, 2020",T20I # 1057
Oman,Maldives,Oman,10 wickets,Al Amerat,"Feb 25, 2020",T20I # 1058
Saudi Arabia,U.A.E.,U.A.E.,12 runs,Al Amerat,"Feb 25, 2020",T20I # 1059
Bahrain,Qatar,Bahrain,6 wickets,Al Amerat,"Feb 25, 2020",T20I # 1060
Iran,Kuwait,Kuwait,8 wickets,Al Amerat,"Feb 25, 2020",T20I # 1061
Malaysia,Hong Kong,Malaysia,6 wickets,Kuala Lumpur,"Feb 26, 2020",T20I # 1062
Bahrain,Kuwait,Kuwait,87 runs,Al Amerat,"Feb 26, 2020",T20I # 1063
Qatar,U.A.E.,U.A.E.,28 runs,Al Amerat,"Feb 26, 2020",T20I # 1064
South Africa,Australia,Australia,97 runs,Cape Town,"Feb 26, 2020",T20I # 1065
Kuwait,U.A.E.,U.A.E.,102 runs,Al Amerat,"Feb 27, 2020",T20I # 1066
Thailand,Singapore,Singapore,43 runs,Bangkok,"Feb 29, 2020",T20I # 1067
Malaysia,Nepal,Malaysia,22 runs,Bangkok,"Feb 29, 2020",T20I # 1068
South Africa,Australia,Australia,5 wickets,Johannesburg,"Mar 6, 2016",T20I # 520
Bangladesh,India,India,8 wickets,Dhaka,"Mar 6, 2016",T20I # 521
Hong Kong,Zimbabwe,Zimbabwe,14 runs,Nagpur,"Mar 8, 2016",T20I # 522
Afghanistan,Scotland,Afghanistan,14 runs,Nagpur,"Mar 8, 2016",T20I # 523
Bangladesh,Netherlands,Bangladesh,8 runs,Dharamsala,"Mar 9, 2016",T20I # 524
Ireland,Oman,Oman,2 wickets,Dharamsala,"Mar 9, 2016",T20I # 525
South Africa,Australia,Australia,6 wickets,Cape Town,"Mar 9, 2016",T20I # 526
Scotland,Zimbabwe,Zimbabwe,11 runs,Nagpur,"Mar 10, 2016",T20I # 527
Afghanistan,Hong Kong,Afghanistan,6 wickets,Nagpur,"Mar 10, 2016",T20I # 528
Netherlands,Oman,no result,Dharamsala,"Mar 11, 2016",T20I # 529,
Bangladesh,Ireland,no result,Dharamsala,"Mar 11, 2016",T20I # 530,
Afghanistan,Zimbabwe,Afghanistan,59 runs,Nagpur,"Mar 12, 2016",T20I # 531
Hong Kong,Nepal,Hong Kong,43 runs,Bangkok,"Mar 1, 2020",T20I # 1069
Thailand,Malaysia,Malaysia,8 wickets,Bangkok,"Mar 1, 2020",T20I # 1070
Malaysia,Singapore,Singapore,128 runs,Bangkok,"Mar 3, 2020",T20I # 1071
Thailand,Hong Kong,Hong Kong,8 wickets,Bangkok,"Mar 3, 2020",T20I # 1072
Thailand,Nepal,Nepal,9 wickets,Bangkok,"Mar 4, 2020",T20I # 1073
Hong Kong,Singapore,Singapore,16 runs,Bangkok,"Mar 4, 2020",T20I # 1074
Sri Lanka,West Indies,West Indies,25 runs,Pallekele,"Mar 4, 2020",T20I # 1075
Hong Kong,Malaysia,Hong Kong,6 wickets,Bangkok,"Mar 6, 2020",T20I # 1076
Afghanistan,Ireland,Afghanistan,11 runs,Greater Noida,"Mar 6, 2020",T20I # 1077
Sri Lanka,West Indies,West Indies,7 wickets,Pallekele,"Mar 6, 2020",T20I # 1078
Afghanistan,Ireland,Afghanistan,21 runs,Greater Noida,"Mar 8, 2020",T20I # 1079
Spain,Germany,Spain,9 wickets,Almeria,"Mar 8, 2020",T20I # 1080
Spain,Germany,Germany,58 runs,Almeria,"Mar 8, 2020",T20I # 1081
Hong Kong,Scotland,Scotland,8 wickets,Nagpur,"Mar 12, 2016",T20I # 532
Ireland,Netherlands,Netherlands,12 runs,Dharamsala,"Mar 13, 2016",T20I # 533
Bangladesh,Oman,Bangladesh,54 runs,Dharamsala,"Mar 13, 2016",T20I # 534
India,New Zealand,New Zealand,47 runs,Nagpur,"Mar 15, 2016",T20I # 535
Bangladesh,Pakistan,Pakistan,55 runs,Kolkata,"Mar 16, 2016",T20I # 536
England,West Indies,West Indies,6 wickets,Mumbai,"Mar 16, 2016",T20I # 537
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Kolkata,"Mar 17, 2016",T20I # 538
Australia,New Zealand,New Zealand,8 runs,Dharamsala,"Mar 18, 2016",T20I # 539
England,South Africa,England,2 wickets,Mumbai,"Mar 18, 2016",T20I # 540
India,Pakistan,India,6 wickets,Kolkata,"Mar 19, 2016",T20I # 541
Afghanistan,South Africa,South Africa,37 runs,Mumbai,"Mar 20, 2016",T20I # 542
Sri Lanka,West Indies,West Indies,7 wickets,Bengaluru,"Mar 20, 2016",T20I # 543
Australia,Bangladesh,Australia,3 wickets,Bengaluru,"Mar 21, 2016",T20I # 544
Bangladesh,Zimbabwe,Bangladesh,48 runs,Dhaka,"Mar 9, 2020",T20I # 1082
Afghanistan,Ireland,tied,Greater Noida,"Mar 10, 2020",T20I # 1083,
Bangladesh,Zimbabwe,Bangladesh,9 wickets,Dhaka,"Mar 11, 2020",T20I # 1084
Guernsey,Isle of Man,Guernsey,8 wickets,St Peter Port,"Aug 21, 2020",T20I # 1085
Luxembourg,Czech Rep.,Luxembourg,63 runs,Walferdange,"Aug 28, 2020",T20I # 1086
England,Pakistan,no result,Manchester,"Aug 28, 2020",T20I # 1087,
Luxembourg,Czech Rep.,Czech Rep.,5 wickets,Walferdange,"Aug 29, 2020",T20I # 1088
Luxembourg,Belgium,Belgium,37 runs,Walferdange,"Aug 29, 2020",T20I # 1089
Belgium,Czech Rep.,Belgium,46 runs,Walferdange,"Aug 29, 2020",T20I # 1090
Belgium,Czech Rep.,Belgium,87 runs,Walferdange,"Aug 30, 2020",T20I # 1091
Luxembourg,Belgium,Belgium,49 runs,Walferdange,"Aug 30, 2020",T20I # 1092
England,Pakistan,England,5 wickets,Manchester,"Aug 30, 2020",T20I # 1093
England,Pakistan,Pakistan,5 runs,Manchester,"Sep 1, 2020",T20I # 1094
New Zealand,Pakistan,New Zealand,22 runs,Mohali,"Mar 22, 2016",T20I # 545
Afghanistan,England,England,15 runs,Delhi,"Mar 23, 2016",T20I # 546
India,Bangladesh,India,1 run,Bengaluru,"Mar 23, 2016",T20I # 547
Australia,Pakistan,Australia,21 runs,Mohali,"Mar 25, 2016",T20I # 548
South Africa,West Indies,West Indies,3 wickets,Nagpur,"Mar 25, 2016",T20I # 549
Bangladesh,New Zealand,New Zealand,75 runs,Kolkata,"Mar 26, 2016",T20I # 550
England,Sri Lanka,England,10 runs,Delhi,"Mar 26, 2016",T20I # 551
Afghanistan,West Indies,Afghanistan,6 runs,Nagpur,"Mar 27, 2016",T20I # 552
India,Australia,India,6 wickets,Mohali,"Mar 27, 2016",T20I # 553
South Africa,Sri Lanka,South Africa,8 wickets,Delhi,"Mar 28, 2016",T20I # 554
England,New Zealand,England,7 wickets,Delhi,"Mar 30, 2016",T20I # 555
India,West Indies,West Indies,7 wickets,Mumbai,"Mar 31, 2016",T20I # 556
England,Australia,England,2 runs,Southampton,"Sep 4, 2020",T20I # 1095
England,Australia,England,6 wickets,Southampton,"Sep 6, 2020",T20I # 1096
England,Australia,Australia,5 wickets,Southampton,"Sep 8, 2020",T20I # 1097
Bulgaria,Malta,Malta,57 runs,Sofia,"Sep 23, 2020",T20I # 1098
Bulgaria,Malta,Malta,8 wickets,Sofia,"Sep 23, 2020",T20I # 1099
Bulgaria,Malta,no result,Sofia,"Sep 24, 2020",T20I # 1100,
Romania,Bulgaria,Bulgaria,33 runs,Ilfov County,"Oct 16, 2020",T20I # 1101
Romania,Bulgaria,Romania,52 runs,Ilfov County,"Oct 17, 2020",T20I # 1102
Romania,Bulgaria,Romania,34 runs,Ilfov County,"Oct 17, 2020",T20I # 1103
Romania,Bulgaria,Romania,6 wickets,Ilfov County,"Oct 18, 2020",T20I # 1104
Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,"Nov 7, 2020",T20I # 1105
England,West Indies,West Indies,4 wickets,Kolkata,"Apr 3, 2016",T20I # 557
Zimbabwe,India,Zimbabwe,2 runs,Harare,"Jun 18, 2016",T20I # 558
Zimbabwe,India,India,10 wickets,Harare,"Jun 20, 2016",T20I # 559
Zimbabwe,India,India,3 runs,Harare,"Jun 22, 2016",T20I # 560
England,Sri Lanka,England,8 wickets,Southampton,"Jul 5, 2016",T20I # 561
India,West Indies,West Indies,1 run,Lauderhill,"Aug 27, 2016",T20I # 562
India,West Indies,no result,Lauderhill,"Aug 28, 2016",T20I # 563,
Ireland,Hong Kong,Hong Kong,40 runs,Bready,"Sep 5, 2016",T20I # 564
Sri Lanka,Australia,Australia,85 runs,Pallekele,"Sep 6, 2016",T20I # 565
England,Pakistan,Pakistan,9 wickets,Manchester,"Sep 7, 2016",T20I # 566
Pakistan,Zimbabwe,Pakistan,8 wickets,Rawalpindi,"Nov 8, 2020",T20I # 1106
Pakistan,Zimbabwe,Pakistan,8 wickets,Rawalpindi,"Nov 10, 2020",T20I # 1107
New Zealand,West Indies,New Zealand,5 wickets,Auckland,"Nov 27, 2020",T20I # 1108
South Africa,England,England,5 wickets,Cape Town,"Nov 27, 2020",T20I # 1109
New Zealand,West Indies,New Zealand,72 runs,Mount Maunganui,"Nov 29, 2020",T20I # 1110
South Africa,England,England,4 wickets,Paarl,"Nov 29, 2020",T20I # 1111
New Zealand,West Indies,no result,Mount Maunganui,"Nov 30, 2020",T20I # 1112,
South Africa,England,England,9 wickets,Cape Town,"Dec 1, 2020",T20I # 1113
Australia,India,India,11 runs,Canberra,"Dec 4, 2020",T20I # 1114
Australia,India,India,6 wickets,Sydney,"Dec 6, 2020",T20I # 1115
Australia,India,Australia,12 runs,Sydney,"Dec 8, 2020",T20I # 1116
Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS),"Sep 9, 2016",T20I # 567
Pakistan,West Indies,Pakistan,9 wickets,Dubai (DSC),"Sep 23, 2016",T20I # 568
Pakistan,West Indies,Pakistan,16 runs,Dubai (DSC),"Sep 24, 2016",T20I # 569
Pakistan,West Indies,Pakistan,8 wickets,Abu Dhabi,"Sep 27, 2016",T20I # 570
U.A.E.,Afghanistan,Afghanistan,11 runs,ICCA Dubai,"Dec 14, 2016",T20I # 571
U.A.E.,Afghanistan,Afghanistan,5 wickets,Dubai (DSC),"Dec 16, 2016",T20I # 572
U.A.E.,Afghanistan,Afghanistan,44 runs,ICCA Dubai,"Dec 18, 2016",T20I # 573
New Zealand,Pakistan,New Zealand,5 wickets,Auckland,"Dec 18, 2020",T20I # 1117
New Zealand,Pakistan,New Zealand,9 wickets,Hamilton,"Dec 20, 2020",T20I # 1118
New Zealand,Pakistan,Pakistan,4 wickets,Napier,"Dec 22, 2020",T20I # 1119
New Zealand,Sri Lanka,New Zealand,35 runs,Auckland,"Jan 11, 2019",T20I # 718
Bahrain,Saudi Arabia,Bahrain,41 runs,Al Amerat,"Jan 20, 2019",T20I # 719
Kuwait,Maldives,Kuwait,8 wickets,Al Amerat,"Jan 20, 2019",T20I # 720
Bahrain,Maldives,Bahrain,2 wickets,Al Amerat,"Jan 21, 2019",T20I # 721
Qatar,Saudi Arabia,Qatar,4 wickets,Al Amerat,"Jan 21, 2019",T20I # 722
Kuwait,Qatar,tied,Al Amerat,"Jan 22, 2019",T20I # 723,
Maldives,Saudi Arabia,Saudi Arabia,6 wickets,Al Amerat,"Jan 22, 2019",T20I # 724
Maldives,Qatar,Qatar,8 wickets,Al Amerat,"Jan 23, 2019",T20I # 725
Bahrain,Kuwait,Kuwait,7 wickets,Al Amerat,"Jan 23, 2019",T20I # 726
Kuwait,Saudi Arabia,Saudi Arabia,7 wickets,Al Amerat,"Jan 24, 2019",T20I # 727
Bahrain,Qatar,Qatar,48 runs,Al Amerat,"Jan 24, 2019",T20I # 728
Qatar,Saudi Arabia,Saudi Arabia,8 wickets,Al Amerat,"Jan 24, 2019",T20I # 729
U.A.E.,Nepal,U.A.E.,21 runs,ICCA Dubai,"Jan 31, 2019",T20I # 730
U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,"Feb 1, 2019",T20I # 731
South Africa,Pakistan,South Africa,6 runs,Cape Town,"Feb 1, 2019",T20I # 732
U.A.E.,Nepal,Nepal,14 runs,ICCA Dubai,"Feb 3, 2019",T20I # 733
South Africa,Pakistan,South Africa,7 runs,Johannesburg,"Feb 3, 2019",T20I # 734
New Zealand,India,New Zealand,80 runs,Wellington,"Feb 6, 2019",T20I # 735
